YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE
2023,2,3,5,2/3/2023 0:00,YX,20452,N116HQ,4316,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,13244,1324402,33244,MEM,"Memphis, TN",TN,Tennessee,1345,1346,1,1,0,1300-1359,19,1405,1507,5,1523,1512,-11,0,0,0,158,146,122,1,762
2023,2,1,3,2/1/2023 0:00,UA,19977,N37464,745,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1538,1539,1,1,0,1500-1559,16,1555,1745,11,1810,1756,-14,0,0,0,272,257,230,1,1703
2023,2,6,1,2/6/2023 0:00,OH,20397,N562NN,5093,13495,1349505,33495,MSY,"New Orleans, LA",LA,Louisiana,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,1750,1752,2,2,0,1700-1759,30,1822,2134,4,2122,2138,16,16,1,0,152,166,132,1,969
2023,2,6,1,2/6/2023 0:00,AA,19805,N990AU,2754,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,700,701,1,1,0,0700-0759,16,717,923,18,932,941,9,9,0,0,152,160,126,1,802
2023,2,2,4,2/2/2023 0:00,WN,19393,N950WN,642,15016,1501606,31123,STL,"St. Louis, MO",MO,Missouri,11423,1142308,31423,DSM,"Des Moines, IA",IA,Iowa,1025,1047,22,22,1,1000-1059,11,1058,1142,3,1135,1145,10,10,0,0,70,58,44,1,259
2023,2,2,4,2/2/2023 0:00,WN,19393,N7726A,1491,13796,1379609,32457,OAK,"Oakland, CA",CA,California,11603,1160302,31603,EUG,"Eugene, OR",OR,Oregon,2055,2110,15,15,1,2000-2059,32,2142,2240,4,2225,2244,19,19,1,0,90,94,58,1,445
2023,2,5,7,2/5/2023 0:00,AA,19805,N826AW,455,14689,1468902,34689,SBA,"Santa Barbara, CA",CA,California,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1210,1217,7,7,0,1200-1259,15,1232,1708,13,1713,1721,8,8,0,0,183,184,156,1,1316
2023,2,6,1,2/6/2023 0:00,G4,20368,232NV,2139,12544,1254404,32544,USA,"Concord, NC",NC,North Carolina,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,1446,1443,-3,0,0,1400-1459,12,1455,1624,51,1649,1715,26,26,1,0,123,152,89,1,643
2023,2,1,3,2/1/2023 0:00,B6,20409,N990JL,434,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,615,604,-11,0,0,0600-0659,29,633,1426,8,1447,1434,-13,0,0,0,332,330,293,1,2704
2023,2,2,4,2/2/2023 0:00,AA,19805,N130AN,2439,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,Oklahoma,1041,,,,,1000-1059,,,,,1148,,,,,1,67,,,1,175
2023,2,3,5,2/3/2023 0:00,WN,19393,N8520Q,527,15304,1530402,33195,TPA,"Tampa, FL",FL,Florida,10821,1082106,30852,BWI,"Baltimore, MD",MD,Maryland,1840,1904,24,24,1,1800-1859,13,1917,2107,7,2055,2114,19,19,1,0,135,130,110,1,842
2023,2,6,1,2/6/2023 0:00,OO,20304,N304SY,4054,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,11884,1188402,31884,GEG,"Spokane, WA",WA,Washington,925,921,-4,0,0,0900-0959,15,936,1019,3,1035,1022,-13,0,0,0,70,61,43,1,224
2023,2,6,1,2/6/2023 0:00,DL,19790,N695DL,567,10821,1082106,30852,BWI,"Baltimore, MD",MD,Maryland,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,1806,1755,-11,0,0,1800-1859,19,1814,1935,30,2010,2005,-5,0,0,0,124,130,81,1,577
