YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,6,4,7,6/4/2023 0:00,DL,N339NW,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,10821,1082106,30852,BWI,"Baltimore, MD",MD,Maryland,2243,2344,61,61,1,9,2353,51,5,13,56,43,43,1,0
2023,6,16,5,6/16/2023 0:00,OO,N414SY,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,15023,1502305,34433,STS,"Santa Rosa, CA",CA,California,1820,1814,-6,0,0,16,1830,1957,5,2018,2002,-16,0,0,0
2023,6,17,6,6/17/2023 0:00,9E,N292PQ,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,Pennsylvania,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,1408,1400,-8,0,0,25,1425,1507,9,1520,1516,-4,0,0,0
2023,6,5,1,6/5/2023 0:00,WN,N7748A,14908,1490803,32575,SNA,"Santa Ana, CA",CA,California,13796,1379610,32457,OAK,"Oakland, CA",CA,California,820,815,-5,0,0,10,825,920,5,940,925,-15,0,0,0
2023,6,21,3,6/21/2023 0:00,WN,N7727A,10821,1082106,30852,BWI,"Baltimore, MD",MD,Maryland,15304,1530402,33195,TPA,"Tampa, FL",FL,Florida,625,619,-6,0,0,10,629,833,7,840,840,0,0,0,0
2023,6,9,5,6/9/2023 0:00,WN,N8508W,15370,1537002,34653,TUL,"Tulsa, OK",OK,Oklahoma,15016,1501606,31123,STL,"St. Louis, MO",MO,Missouri,1740,1730,-10,0,0,10,1740,1837,7,1855,1844,-11,0,0,0
2023,6,7,3,6/7/2023 0:00,NK,N977NK,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,13204,1320402,31454,MCO,"Orlando, FL",FL,Florida,1915,2135,140,140,1,12,2147,36,4,2246,40,114,114,1,0
2023,6,3,6,6/3/2023 0:00,UA,N212UA,13830,1383002,33830,OGG,"Kahului, HI",HI,Hawaii,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1955,1945,-10,0,0,18,2003,557,5,623,602,-21,0,0,0
2023,6,19,1,6/19/2023 0:00,HA,N491HA,12758,1275804,32758,KOA,"Kona, HI",HI,Hawaii,12173,1217305,32134,HNL,"Honolulu, HI",HI,Hawaii,1530,1522,-8,0,0,7,1529,1600,10,1622,1610,-12,0,0,0
2023,6,24,6,6/24/2023 0:00,B6,N279JB,11433,1143302,31295,DTW,"Detroit, MI",MI,Michigan,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,853,845,-8,0,0,14,859,1029,7,1041,1036,-5,0,0,0
